text,diagnose,ICD,token_text,length
截趾术,趾截断术,84.1100,截趾术,1
IABP,主动脉球囊反搏置入术,37.6101,IABP,1
截指术,上肢截断术,84.0000,截指术,1
TULIP,经尿道(超声)激光诱导前列腺切除术(TULIP),60.2100,TULIP,1
骨穿,骨活组织检查,77.4000,骨穿,1
TURP,经尿道前列腺切除术（TURP）,60.2902,TURP,1
腰穿,腰椎穿刺术,03.3101,腰 穿,2
椎体成形术,经皮椎骨成形术,81.6500,椎体 成形术,2
前列腺癌根治术,根治性前列腺切除术,60.5x00,前列腺癌 根治术,2
尿道成形,尿道成形术,58.4901,尿道 成形,2
椎间盘造影术,椎间盘造影,87.2101,椎间盘 造影术,2
肺叶切除术,肺叶切除术,32.4902,肺叶 切除术,2
清宫术,子宫扩张和刮宫术,69.0,清宫 术,2
肺大疱切除术,肺大泡切除术,32.2902,肺大疱 切除术,2
宫颈锥切,子宫颈锥形切除术,67.2x00,宫颈 锥切,2
子宫颈锥切术,子宫颈锥形切除术,67.2x00,子宫颈 锥切术,2
肺穿刺术,肺穿刺,33.9300,肺 穿刺术,2
唇裂修补术,裂唇修补术,27.5400,唇裂 修补术,2
右甲腺叶切除术,单侧甲状腺叶切除术,06.2x00,右甲腺叶 切除术,2
肩袖修补术,回旋肌环带修补术,83.6300,肩袖 修补术,2
负压吸宫术,抽吸刮宫术，用于终止妊娠,69.5100,负压 吸宫术,2
原位肝移植,原位肝移植,50.5901,原位 肝移植,2
断掌再植术,断掌再植术,84.2304,断掌 再植术,2
关节穿刺术,关节穿刺术,81.9100,关节 穿刺术,2
腱鞘松解术,腱鞘松解术,83.0102,腱鞘 松解术,2
脑膜瘤切除术,脑膜病损切除术,01.5106,脑膜瘤 切除术,2
包皮切开术,包皮切开术,64.9101,包皮 切开术,2
脑室穿刺术,脑池穿刺,01.0100,脑室 穿刺术,2
腺样体消融术,腺样增殖体切除术不伴扁桃体切除术,28.6x00,腺样体 消融术,2
关节穿剌术,关节穿刺术,81.9100,关节 穿剌术,2
颅骨整形术,颅成形术,02.0,颅骨 整形术,2
膝关节镜检查,关节镜膝关节检查,80.2600,膝关节 镜检查,2
肾造瘘术,肾造口术,55.0200,肾造 瘘术,2
胃ESD,内镜下胃黏膜下剥离术[ESD],43.4107,胃 ESD,2
右心导管,右心导管置入,37.2100,右 心导管,2
双声带切除术,声带切除术,30.2200,双声带 切除术,2
全脾切除术,全脾切除术,41.5x00,全脾 切除术,2
左肺修补术,肺修补术,33.4901,左肺 修补术,2
趾离断术,趾截断术,84.1100,趾 离断术,2
右肾根治,单侧肾切除术,55.5101,右肾 根治,2
跟腱修补术,肌腱修补术,83.8803,跟腱 修补术,2
ＬＣ,腹腔镜下胆囊切除术,51.2300,Ｌ Ｃ,2
输精管结扎术,输精管结扎术,63.7100,输精管 结扎术,2
肝癌切除术,肝病损切除术,50.2908,肝癌 切除术,2
左肩峰成形术,肩峰成形术,81.8301,左肩峰 成形术,2
肛门成形术,肛门成形术,49.7903,肛门 成形术,2
左甲腺叶切除术,单侧甲状腺叶切除术,06.2x00,左甲腺叶 切除术,2
腹部吸脂术,腹部吸脂术,86.8302,腹部 吸脂术,2
多指截指术,上肢截断术,84.0000,多指 截指术,2
扁桃体切除术,扁桃体切除术不伴腺样增殖体切除术,28.2x00,扁桃体 切除术,2
尿道重建术,尿道成形术,58.4901,尿道 重建术,2
踝关节镜检查,关节镜踝关节检查,80.2700,踝关节 镜检查,2
ECMO植入术,体外膜氧合[ECMO],39.6500,ECMO 植入术,2
面神经吻合术,面神经吻合术,04.7402,面神经 吻合术,2
鼻中隔矫正术,修正性鼻成形术,21.8400,鼻中隔 矫正术,2
唇腺活检,唇活组织检查,27.2300,唇腺 活检,2
膝关节置换,全部膝关节置换,81.5400,膝关节 置换,2
尿道成形术,尿道成形术,58.4901,尿道 成形术,2
胸腔穿刺,胸腔穿刺术,34.9100,胸腔 穿刺,2
髋关节造影,髋关节造影,88.3204,髋关节 造影,2
股骨头置换,人工股骨头置换术,81.5201,股骨头 置换,2
膀胱全切术,根治性膀胱切除术,57.7100,膀胱 全切术,2
左小腿离断术,小腿截断术,84.1501,左小腿 离断术,2
PICC置管,经外周静脉穿刺中心静脉置管术,38.9301,PICC 置管,2
跖骨截骨术,跗骨和跖骨缩短术,78.2800,跖骨 截骨术,2
趾骨截骨术,趾截断术,84.1100,趾骨 截骨术,2
扁桃体挤切术,扁桃体切除术不伴腺样增殖体切除术,28.2x00,扁桃体 挤切术,2
乳突根治术,根治性乳突切除术,20.4200,乳突 根治术,2
全膝置换术,全部膝关节置换,81.5400,全膝 置换术,2
冠状动脉移植术,去除冠状动脉梗阻和支架置入,36.0,冠状动脉 移植术,2
鼻中隔成形术,修正性鼻成形术,21.8400,鼻中隔 成形术,2
甲状腺全切术,甲状腺全部切除术,06.4x00,甲状腺 全切术,2
舌系带矫正术,舌系带整形术,25.9101,舌系带 矫正术,2
